age,workclass,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
68,?,HS-grad,12,Widowed,?,Not-in-family,White,Female,4079,2489,49,United-States,<=50K
68,Private,HS-grad,6,Widowed,Exec-managerial,Not-in-family,White,Female,5552,3715,37,United-States,<=50K
66,?,Some-college,5,Widowed,?,Unmarried,Black,Female,4983,2346,50,United-States,<=50K
54,Private,7th-8th,5,Divorced,Machine-op-inspct,Unmarried,White,Female,5330,2712,48,United-States,<=50K
41,Private,Some-college,5,Separated,Prof-specialty,Own-child,White,Female,4406,3442,49,United-States,<=50K
34,Private,HS-grad,5,Divorced,Other-service,Unmarried,White,Female,6791,3112,37,United-States,<=50K
38,Private,10th,9,Separated,Adm-clerical,Unmarried,White,Male,5408,2339,49,United-States,<=50K
68,State-gov,Doctorate,12,Never-married,Prof-specialty,Other-relative,White,Female,5815,2402,30,United-States,>50K
68,Federal-gov,HS-grad,12,Divorced,Prof-specialty,Not-in-family,White,Female,4113,3772,38,United-States,<=50K
41,Private,Some-college,10,Never-married,Craft-repair,Unmarried,White,Male,3964,1693,32,?,>50K
45,Private,Doctorate,5,Divorced,Prof-specialty,Unmarried,Black,Female,6136,1040,36,United-States,>50K
38,Self-emp-not-inc,Prof-school,7,Never-married,Prof-specialty,Not-in-family,White,Male,6204,1241,50,United-States,>50K
52,Private,Bachelors,12,Widowed,Other-service,Not-in-family,White,Female,6240,3319,42,United-States,>50K
32,Private,Masters,9,Separated,Exec-managerial,Not-in-family,White,Male,4587,1825,36,United-States,>50K
51,?,Doctorate,10,Never-married,?,Not-in-family,White,Male,5173,1327,37,United-States,>50K
46,Private,Prof-school,9,Divorced,Prof-specialty,Not-in-family,White,Male,6705,2203,38,United-States,>50K
45,Private,11th,6,Divorced,Transport-moving,Not-in-family,White,Male,5517,2821,44,United-States,>50K
57,Private,Masters,8,Divorced,Exec-managerial,Not-in-family,White,Male,4373,1699,37,United-States,>50K
22,Private,Assoc-acdm,5,Never-married,Handlers-cleaners,Not-in-family,Black,Male,6205,3763,32,?,>50K
34,Private,Bachelors,6,Separated,Sales,Not-in-family,White,Male,4298,2529,35,United-States,>50K
37,Private,Bachelors,10,Never-married,Exec-managerial,Not-in-family,White,Male,4641,2735,30,United-States,>50K
29,Private,11th,5,Separated,Sales,Not-in-family,White,Female,5651,3468,43,United-States,<=50K
61,Private,HS-grad,9,Divorced,Sales,Unmarried,White,Female,6444,1102,46,United-States,<=50K
51,Private,Some-college,11,Married-civ-spouse,Transport-moving,Husband,White,Male,6124,2221,31,United-States,<=50K
61,?,HS-grad,6,Married-civ-spouse,?,Husband,White,Male,6164,3745,38,United-States,<=50K
21,Private,Assoc-voc,10,Married-civ-spouse,Craft-repair,Husband,White,Male,4139,2522,34,United-States,<=50K
33,Private,1st-4th,11,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,5255,996,40,Mexico,<=50K
49,Private,5th-6th,8,Married-civ-spouse,Other-service,Husband,White,Male,5922,2119,33,Greece,<=50K
37,Self-emp-inc,10th,8,Never-married,Transport-moving,Not-in-family,White,Male,4968,3136,48,United-States,>50K
38,Private,10th,10,Never-married,Prof-specialty,Not-in-family,White,Male,4369,3079,44,United-States,>50K
23,Private,Some-college,7,Separated,Other-service,Not-in-family,White,Male,6568,1791,41,United-States,>50K
59,Self-emp-inc,10th,12,Widowed,Exec-managerial,Unmarried,White,Female,4216,1133,49,United-States,>50K
52,Private,Prof-school,10,Divorced,Exec-managerial,Not-in-family,White,Male,5193,3493,34,United-States,>50K
51,Private,Bachelors,8,Divorced,Exec-managerial,Not-in-family,White,Male,5767,3362,37,United-States,>50K
60,Self-emp-not-inc,HS-grad,8,Never-married,Exec-managerial,Not-in-family,Black,Male,5039,3311,37,United-States,>50K
